b,J,gap_even,gap_odd,risk,metric
1.037500000000000089e+00,1.350241887673825358e-02,8.821079925805584976e-01,1.091552713506666716e+00,1.302019374414651598e-01,1.584325002490455381e-02
1.050000000000000044e+00,1.335414120427452778e-02,8.846037249542119119e-01,1.092231008636733947e+00,1.285350595782645822e-01,1.555153320078233974e-02
1.062500000000000000e+00,1.320792613561666551e-02,8.870849802652770455e-01,1.092907484003132312e+00,1.268986317733947766e-01,1.526662533035099724e-02
1.075000000000000178e+00,1.306373839247876312e-02,8.895517251086355603e-01,1.093582144744651874e+00,1.252920083887207325e-01,1.498834400712478407e-02
1.087499999999999911e+00,1.292154340571555204e-02,8.920039305187476009e-01,1.094254996002071101e+00,1.237145581618506046e-01,1.471651209783965061e-02
1.100000000000000089e+00,1.278130730141846527e-02,8.944415718584186603e-01,1.094926042926098297e+00,1.221656639140690503e-01,1.445095758795586494e-02
1.112500000000000044e+00,1.264299688899711560e-02,8.968646287234526282e-01,1.095595290675388078e+00,1.206447222579280221e-01,1.419151343103880469e-02
1.125000000000000000e+00,1.250657964131512978e-02,8.992730848155178203e-01,1.096262744410582357e+00,1.191511433162368849e-01,1.393801740298050706e-02
1.137500000000000178e+00,1.237202368078615944e-02,9.016669278468092408e-01,1.096928409296295870e+00,1.176843504362718590e-01,1.369031195935281262e-02
1.149999999999999911e+00,1.223929776546806014e-02,9.040461494268130505e-01,1.097592290507073187e+00,1.162437799121015664e-01,1.344824409711911292e-02
1.162500000000000089e+00,1.210837127615221887e-02,9.064107449590254051e-01,1.098254393211502533e+00,1.148288807087974733e-01,1.321166522003104291e-02
1.175000000000000044e+00,1.197921419848635427e-02,9.087607135376518652e-01,1.098914722592073678e+00,1.134391141902590938e-01,1.298043100772653356e-02
1.187500000000000000e+00,1.185179711105444067e-02,9.110960578482931727e-01,1.099573283829293313e+00,1.120739538505269028e-01,1.275440128849365112e-02
1.200000000000000178e+00,1.172609117346024021e-02,9.134167840606768340e-01,1.100230082111611996e+00,1.107328850511250101e-01,1.253343991580555677e-02
1.212499999999999911e+00,1.160206811540154259e-02,9.157229017412562566e-01,1.100885122621520829e+00,1.094154047582476669e-01,1.231741464798094890e-02
1.225000000000000089e+00,1.147970021382649364e-02,9.180144237320457812e-01,1.101538410549455893e+00,1.081210212920585834e-01,1.210619703208389193e-02
1.237500000000000044e+00,1.135896029591260126e-02,9.202913660870474244e-01,1.102189951087843900e+00,1.068492540677429548e-01,1.189966228995621364e-02
1.250000000000000000e+00,1.123982171125903484e-02,9.225537479411574093e-01,1.102839749427118710e+00,1.055996333556949301e-01,1.169768920897494222e-02
1.262500000000000178e+00,1.112225833188462687e-02,9.248015914485845368e-01,1.103487810767650457e+00,1.043717000315446675e-01,1.150016003465324614e-02
1.274999999999999911e+00,1.100624453633819444e-02,9.270349216656516012e-01,1.104134140295904176e+00,1.031650053428157660e-01,1.130696036755258864e-02
1.287500000000000089e+00,1.089175519579327345e-02,9.292537664792889229e-01,1.104778743216220382e+00,1.019791106702058331e-01,1.111797906230865308e-02
1.300000000000000044e+00,1.077876567106789141e-02,9.314581565017524545e-01,1.105421624715064555e+00,1.008135873007693500e-01,1.093310813032690593e-02
1.312500000000000000e+00,1.066725178978272792e-02,9.336481249891847023e-01,1.106062789996778539e+00,9.966801620094835334e-02,1.075224264503952393e-02
1.325000000000000178e+00,1.055718984834569385e-02,9.358237077601695431e-01,1.106702244253784828e+00,9.854198779425310528e-02,1.057528064993622056e-02
1.337499999999999911e+00,1.044855659407545323e-02,9.379849431003889348e-01,1.107339992676521057e+00,9.743510174620372000e-02,1.040212306965266655e-02
1.350000000000000089e+00,1.034132921924230120e-02,9.401318716911114537e-01,1.107976040465356249e+00,9.634696674934142835e-02,1.023267362334748763e-02
1.362500000000000044e+00,1.023548534815565958e-02,9.422645365118551553e-01,1.108610392806755662e+00,9.527720031771648446e-02,1.006683874114712267e-02
1.375000000000000000e+00,1.013100302922032014e-02,9.443829827708718483e-01,1.109243054893141567e+00,9.422542858091025042e-02,9.904527482731798754e-03
1.387500000000000178e+00,1.002786072599559652e-02,9.464872578217133903e-01,1.109874031914951376e+00,9.319128608454688156e-02,9.745651458518772570e-03
1.399999999999999911e+00,9.926037309251123375e-03,9.485774110877489562e-01,1.110503329054676191e+00,9.217441559475217372e-02,9.590124753311359690e-03
1.412500000000000089e+00,9.825512044054962590e-03,9.506534939827110398e-01,1.111130951500767461e+00,9.117446790669778145e-02,9.437863852178327365e-03
1.425000000000000044e+00,9.726264585801003282e-03,9.527155598352129440e-01,1.111756904435716509e+00,9.019110165775916232e-02,9.288787568728622962e-03
1.437500000000000000e+00,9.628274971269668026e-03,9.547636638152511290e-01,1.112381193030096860e+00,8.922398314403581776e-02,9.142816975447755345e-03
1.450000000000000178e+00,9.531523606709557672e-03,9.567978628686529818e-01,1.113003822468385362e+00,8.827278613981640043e-02,8.999875336117905272e-03
1.462499999999999911e+00,9.435991263866072565e-03,9.588182156356386265e-01,1.113624797917184273e+00,8.733719172426770982e-02,8.859888040578991347e-03
1.475000000000000089e+00,9.341659070047803048e-03,9.608247823872537730e-01,1.114244124545078707e+00,8.641688810905598372e-02,8.722782541259403721e-03
1.487500000000000044e+00,9.248508501174868002e-03,9.628176249578319634e-01,1.114861807516683179e+00,8.551157047044914694e-02,8.588488291676550992e-03
1.500000000000000000e+00,9.156521373832937627e-03,9.647968066794472275e-01,1.115477851992639824e+00,8.462094078559052879e-02,8.456936686903757799e-03
1.512499999999999956e+00,9.065679840308371595e-03,9.667623923064270208e-01,1.116092263127629547e+00,8.374470767399040672e-02,8.328061005984307985e-03
1.525000000000000133e+00,8.975966378654554045e-03,9.687144479676800257e-01,1.116705046070375573e+00,8.288258623858887897e-02,8.201796355779587128e-03
1.537500000000000089e+00,8.887363785741342337e-03,9.706530410912154183e-01,1.117316205969601350e+00,8.203429791484433131e-02,8.078079616917090491e-03
1.550000000000000044e+00,8.799855172287429639e-03,9.725782403485221383e-01,1.117925747964097161e+00,8.119957032083408022e-02,7.956849391217372947e-03
1.562500000000000000e+00,8.713423957895927163e-03,9.744901155989503794e-01,1.118533677190667319e+00,8.037813711044078380e-02,7.838045950674913873e-03
1.574999999999999956e+00,8.628053859134399151e-03,9.763887378182011245e-01,1.119139998776185640e+00,7.956973783322839056e-02,7.721611188338473042e-03
1.587500000000000133e+00,8.543728888543378197e-03,9.782741790566131801e-01,1.119744717845537529e+00,7.877411779293500005e-02,7.607488570296220762e-03
1.600000000000000089e+00,8.460433343709716780e-03,9.801465123736103902e-01,1.120347839519636013e+00,7.799102791300734083e-02,7.495623089445552396e-03
1.612500000000000044e+00,8.378151806274380942e-03,9.820058117840698708e-01,1.120949368909464061e+00,7.722022460390166876e-02,7.385961220587958405e-03
1.625000000000000000e+00,8.296869134979512062e-03,9.838521522146237430e-01,1.121549311114083958e+00,7.646146963242474170e-02,7.278450876828968484e-03
1.637499999999999956e+00,8.216570455737037815e-03,9.856856094361189369e-01,1.122147671240504074e+00,7.571452999727551481e-02,7.173041367575169747e-03
1.650000000000000133e+00,8.137241160634522963e-03,9.875062600278607938e-01,1.122744454375869561e+00,7.497917780373407337e-02,7.069683357493796935e-03
1.662500000000000089e+00,8.058866899991246058e-03,9.893141813180281741e-01,1.123339665605340043e+00,7.425519014457308831e-02,6.968328827042896169e-03
1.675000000000000044e+00,7.981433580369956537e-03,9.911094513459226540e-01,1.123933310006124620e+00,7.354234898120237673e-02,6.868931033989364270e-03
1.687500000000000000e+00,7.904927351666035662e-03,9.928921487964270653e-01,1.124525392651468447e+00,7.284044103122665204e-02,6.771444476389859579e-03
1.700000000000000178e+00,7.829334615053973323e-03,9.946623529880789238e-01,1.125115918602689780e+00,7.214925765224142196e-02,6.675824856216990011e-03
1.712500000000000133e+00,7.754642001135847451e-03,9.964201437836892605e-01,1.125704892915152522e+00,7.146859473827804621e-02,6.582029044879409742e-03
1.725000000000000089e+00,7.680836382853106770e-03,9.981656015923250358e-01,1.126292320638258904e+00,7.079825260735790604e-02,6.490015048901751592e-03
1.737500000000000044e+00,7.607904856616887201e-03,9.998988072918422176e-01,1.126878206805523197e+00,7.013803590204945038e-02,6.399741977474142883e-03
1.750000000000000000e+00,7.535834745285741043e-03,1.001619842211005196e+00,1.127462556454430276e+00,6.948775348488678283e-02,6.311170010417432169e-03
1.762500000000000178e+00,7.464613589228452639e-03,1.003328788079830947e+00,1.128045374606570839e+00,6.884721834058532552e-02,6.224260367438482974e-03
1.775000000000000133e+00,7.394229148310338395e-03,1.005025726989859258e+00,1.128626666271623558e+00,6.821624747967861002e-02,6.138975278290917728e-03
1.787500000000000089e+00,7.324669389973448297e-03,1.006710741362370820e+00,1.129206436459264218e+00,6.759466184324630644e-02,6.055277953726878257e-03
1.800000000000000044e+00,7.255922489238564310e-03,1.008383913912631602e+00,1.129784690167248140e+00,6.698228621093489654e-02,5.973132557414871126e-03
1.812500000000000000e+00,7.187976823737618481e-03,1.010045327604205623e+00,1.130361432383402587e+00,6.637894911253837404e-02,5.892504178847355126e-03
1.825000000000000178e+00,7.120820970734853539e-03,1.011695065627106427e+00,1.130936668083633245e+00,6.578448273878942376e-02,5.813358806805356271e-03
1.837500000000000133e+00,7.054443701168033876e-03,1.013333211358068864e+00,1.131510402239874535e+00,6.519872285674024881e-02,5.735663303863205650e-03
1.850000000000000089e+00,6.988833977660591223e-03,1.014959848328763181e+00,1.132082639810156888e+00,6.462150872640484711e-02,5.659385381577441802e-03
1.862500000000000044e+00,6.923980947570962385e-03,1.016575060199977676e+00,1.132653385748535024e+00,6.405268301872919789e-02,5.584493576390694124e-03
1.875000000000000000e+00,6.859873945971428633e-03,1.018178930723873998e+00,1.133222644991190631e+00,6.349209173729281064e-02,5.510957226398875697e-03
1.887500000000000178e+00,6.796502482736666018e-03,1.019771543718167361e+00,1.133790422478273774e+00,6.293958414016700975e-02,5.438746448681818640e-03
1.900000000000000133e+00,6.733856248502201325e-03,1.021352983042278950e+00,1.134356723122126098e+00,6.239501266454598044e-02,5.367832117411515738e-03
1.912500000000000089e+00,6.671925101753739540e-03,1.022923332559612764e+00,1.134921551839065845e+00,6.185823285360370766e-02,5.298185842614929614e-03
1.925000000000000044e+00,6.610699076773363103e-03,1.024482676123634306e+00,1.135484913527530004e+00,6.132910328374895775e-02,5.229779949511338850e-03
1.937500000000000000e+00,6.550168366753039706e-03,1.026031097542123849e+00,1.136046813083968043e+00,6.080748549532945940e-02,5.162587458573649271e-03
1.950000000000000178e+00,6.490323332735692397e-03,1.027568680559297620e+00,1.136607255382981796e+00,6.029324392381497921e-02,5.096582066107618186e-03
1.962500000000000133e+00,6.431154493681368045e-03,1.029095508826011862e+00,1.137166245299173317e+00,5.978624583343850052e-02,5.031738125475483311e-03
1.975000000000000089e+00,6.372652528455868826e-03,1.030611665891816520e+00,1.137723787689265631e+00,5.928636125097116322e-02,4.968030628784770794e-03
1.987500000000000044e+00,6.314808262915971859e-03,1.032117235155293189e+00,1.138279887406009161e+00,5.879346290460726876e-02,4.905435189351901870e-03
2.000000000000000000e+00,6.257612678851942611e-03,1.033612299868035711e+00,1.138834549284278186e+00,5.830742615983339899e-02,4.843928024389587521e-03
2.012500000000000178e+00,6.201056904052371088e-03,1.035096943106832201e+00,1.139387778154972164e+00,5.782812895960957184e-02,4.783485938411990990e-03
2.025000000000000355e+00,6.145132212306503305e-03,1.036571247747845925e+00,1.139939578829127997e+00,5.735545176613357499e-02,4.724086307120566562e-03
2.037500000000000089e+00,6.089830019429420815e-03,1.038035296460656287e+00,1.140489956119768777e+00,5.688927750187760396e-02,4.665707061641254441e-03
2.049999999999999822e+00,6.035141879291328060e-03,1.039489171668529055e+00,1.141038914814094252e+00,5.642949149581757973e-02,4.608326673476372155e-03
2.062500000000000000e+00,5.981059482822348450e-03,1.040932955556364892e+00,1.141586459699305278e+00,5.597598142611034250e-02,4.551924139587939025e-03
2.075000000000000178e+00,5.927574657021650317e-03,1.042366730034942401e+00,1.142132595544722573e+00,5.552863726855843118e-02,4.496478968196282629e-03
2.087500000000000355e+00,5.874679360981627241e-03,1.043790576736942866e+00,1.142677327111724539e+00,5.508735124338517974e-02,4.441971164822199579e-03
2.100000000000000089e+00,5.822365679932106630e-03,1.045204576991134227e+00,1.143220659149769558e+00,5.465201776530332484e-02,4.388381218863265411e-03
2.112499999999999822e+00,5.770625828216635611e-03,1.046608811816402751e+00,1.143762596392425168e+00,5.422253339330931898e-02,4.335690090478931322e-03
2.125000000000000000e+00,5.719452144329895127e-03,1.048003361903884656e+00,1.144303143569282755e+00,5.379879678233504686e-02,4.283879197881328496e-03
2.137500000000000178e+00,5.668837087935085783e-03,1.049388307603055681e+00,1.144842305394050408e+00,5.338070863637943420e-02,4.232930405051125652e-03
2.150000000000000355e+00,5.618773240858798701e-03,1.050763728909813732e+00,1.145380086566524458e+00,5.296817166213423078e-02,4.182826009733716169e-03
2.162500000000000089e+00,5.569253301131338318e-03,1.052129705454558861e+00,1.145916491774585877e+00,5.256109052417980848e-02,4.133548731855000123e-03
2.174999999999999822e+00,5.520270080007660951e-03,1.053486316488296604e+00,1.146451525702141927e+00,5.215937180109483234e-02,4.085081702238077539e-03
2.187500000000000000e+00,5.471816506931959090e-03,1.054833640874679013e+00,1.146985193009264714e+00,5.176292394260396251e-02,4.037408451646878026e-03
2.200000000000000178e+00,5.423885618614510129e-03,1.056171757078099738e+00,1.147517498354037269e+00,5.137165722772164128e-02,3.990512900166521930e-03
2.212500000000000355e+00,5.376470563003166170e-03,1.057500743153752421e+00,1.148048446376667364e+00,5.098548372414427737e-02,3.944379346886052462e-03
2.225000000000000089e+00,5.329564595310531949e-03,1.058820676737704636e+00,1.148578041703457231e+00,5.060431724843480333e-02,3.898992459878433074e-03
2.237499999999999822e+00,5.283161073048159295e-03,1.060131635032988795e+00,1.149106288958723132e+00,5.022807332741995034e-02,3.854337266484596323e-03
2.250000000000000000e+00,5.237253461986446368e-03,1.061433694815566264e+00,1.149633192740957766e+00,4.985666915951770389e-02,3.810399143813817530e-03
2.262500000000000178e+00,5.191835325228710829e-03,1.062726932408498470e+00,1.150158757644681007e+00,4.949002357876079727e-02,3.767163809626828275e-03
2.275000000000000355e+00,5.146900328177106410e-03,1.064011423687911684e+00,1.150682988250508521e+00,4.912805701787154727e-02,3.724617313373319860e-03
2.287500000000000089e+00,5.102442231580961440e-03,1.065287244065115768e+00,1.151205889127137061e+00,4.877069147373597202e-02,3.682746027572754606e-03
2.299999999999999822e+00,5.058454894515285183e-03,1.066554468486604179e+00,1.151727464825385683e+00,4.841785047267998382e-02,3.641536639391624620e-03
2.312500000000000000e+00,5.014932269415517396e-03,1.067813171432069774e+00,1.152247719890115318e+00,4.806945903631670153e-02,3.600976142422472777e-03
2.325000000000000178e+00,4.971868401084877931e-03,1.069063426894541813e+00,1.152766658852282688e+00,4.772544364993324545e-02,3.561051828823717964e-03
2.337500000000000355e+00,4.929257426693256505e-03,1.070305308388326715e+00,1.153284286222977961e+00,4.738573222967138593e-02,3.521751281559551330e-03
2.350000000000000089e+00,4.887093569818534711e-03,1.071538888933119438e+00,1.153800606515279492e+00,4.705025409168320238e-02,3.483062366922732092e-03
2.362499999999999822e+00,4.845371145412391556e-03,1.072764241063939306e+00,1.154315624212468805e+00,4.671893992111542104e-02,3.444973227224125845e-03
2.375000000000000000e+00,4.804084552848308931e-03,1.073981436805299561e+00,1.154829343795843899e+00,4.639172174332362869e-02,3.407472273767138231e-03
2.387500000000000178e+00,4.763228274928033024e-03,1.075190547689091725e+00,1.155341769732795676e+00,4.606853289365039905e-02,3.370548179913301825e-03
2.400000000000000355e+00,4.722796880861412916e-03,1.076391644736702125e+00,1.155852906474820641e+00,4.574930798989477326e-02,3.334189874438635206e-03
2.412500000000000089e+00,4.682785017327328880e-03,1.077584798461004301e+00,1.156362758461504603e+00,4.543398290425978286e-02,3.298386535020195187e-03
2.424999999999999822e+00,4.643187417412764084e-03,1.078770078862381743e+00,1.156871330118521835e+00,4.512249473634981356e-02,3.263127581921160779e-03
2.437500000000000000e+00,4.603998884721516305e-03,1.079947555418796057e+00,1.157378625863605848e+00,4.481478178713472343e-02,3.228402671874448879e-03
2.450000000000000178e+00,4.565214309265375192e-03,1.081117297101681807e+00,1.157884650090649448e+00,4.451078353222910622e-02,3.194201692064909531e-03
2.462500000000000355e+00,4.526828650579850510e-03,1.082279372356078628e+00,1.158389407191562137e+00,4.421044059752388816e-02,3.160514754373600164e-03
2.475000000000000089e+00,4.488836946662022598e-03,1.083433849104606495e+00,1.158892901542360354e+00,4.391369473434805770e-02,3.127332189717224164e-03
2.487499999999999822e+00,4.451234307020435210e-03,1.084580794745477084e+00,1.159395137501184392e+00,4.362048879553530323e-02,3.094644542574481998e-03
2.500000000000000000e+00,4.414015912672764053e-03,1.085720276150511587e+00,1.159896119418228233e+00,4.333076671184417361e-02,3.062442565645011154e-03
